tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime
4634.00;end_private_0;1000.00;15.20;4188.00;108.00;start_private_0;5.10;0.00;tripinfo_car36;446.00;car36;0;4995.30;1.11;0.00;120.02;car;;0;0.00
4636.00;end_private_0;1000.00;11.98;4191.00;111.00;start_private_0;5.10;0.00;tripinfo_car37;445.00;car37;0;4995.30;0.93;0.00;56.34;car;;0;0.00
4637.00;end_private_0;1000.00;15.17;4194.00;114.00;start_private_0;5.10;0.00;tripinfo_car38;443.00;car38;0;4995.30;1.17;0.00;135.24;car;;0;0.00
4637.00;end_public_0;1000.00;11.34;4209.00;129.00;start_public_0;20.10;0.00;tripinfo_bus26;428.00;bus26;0;4980.30;0.89;0.00;24.74;bus;;0;0.00
4639.00;end_private_0;1000.00;17.13;4197.00;117.00;start_private_0;5.10;0.00;tripinfo_car39;442.00;car39;0;4995.30;1.24;0.00;150.45;car;;0;0.00
4639.00;end_public_0;1000.00;15.28;4214.00;134.00;start_public_0;20.10;0.00;tripinfo_bus27;425.00;bus27;0;4980.30;1.11;0.00;101.97;bus;;0;0.00
4641.00;end_private_0;1000.00;13.92;4200.00;120.00;start_private_0;5.10;0.00;tripinfo_car40;441.00;car40;0;4995.30;1.07;0.00;102.57;car;;0;0.00
4643.00;end_private_0;1000.00;12.12;4203.00;123.00;start_private_0;5.10;0.00;tripinfo_car41;440.00;car41;0;4995.30;0.92;0.00;47.39;car;;0;0.00
4645.00;end_private_0;1000.00;12.71;4206.00;126.00;start_private_0;5.10;0.00;tripinfo_car42;439.00;car42;0;4995.30;0.93;0.00;50.22;car;;0;0.00
4646.00;end_private_0;1000.00;12.81;4209.00;129.00;start_private_0;5.10;0.00;tripinfo_car43;437.00;car43;0;4995.30;0.96;0.00;60.47;car;;0;0.00
4648.00;end_private_0;1000.00;14.60;4212.00;132.00;start_private_0;5.10;0.00;tripinfo_car44;436.00;car44;0;4995.30;1.11;0.00;111.59;car;;0;0.00
4650.00;end_private_0;1000.00;13.31;4215.00;135.00;start_private_0;5.10;0.00;tripinfo_car45;435.00;car45;0;4995.30;1.02;0.00;80.18;car;;0;0.00
4651.00;end_private_0;1000.00;14.02;4218.00;138.00;start_private_0;5.10;0.00;tripinfo_car46;433.00;car46;0;4995.30;1.01;0.00;77.18;car;;0;0.00
4705.00;end_public_0;1000.00;10.55;4219.00;139.00;start_public_0;20.10;0.00;tripinfo_bus28;486.00;bus28;0;4980.30;0.79;0.00;29.87;bus;;0;0.00
4708.00;end_public_0;1000.00;15.48;4224.00;144.00;start_public_0;20.10;0.00;tripinfo_bus29;484.00;bus29;0;4980.30;1.22;0.00;188.01;bus;;0;0.00
4781.00;end_private_0;1000.00;8.65;4221.00;141.00;start_private_0;5.10;0.00;tripinfo_car47;560.00;car47;0;4995.30;0.69;0.00;38.96;car;;0;0.00
4783.00;end_private_0;1000.00;12.91;4224.00;144.00;start_private_0;5.10;0.00;tripinfo_car48;559.00;car48;0;4995.30;1.05;0.00;214.81;car;;0;0.00
4785.00;end_private_0;1000.00;13.78;4227.00;147.00;start_private_0;5.10;0.00;tripinfo_car49;558.00;car49;0;4995.30;1.12;0.00;237.41;car;;0;0.00
